## TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
## X11 related
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xinput,"is a small commandline tool to configure devices."
,xorg-xrandr,"is a primitive command line interface to RandR extension."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xsetroot,"is to change X to normal cursor."
,arandr,"allows the user to customize monitor arrangements."
,picom,"is for transparency and removing screen-tearing."
## Audio
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pipewire-alsa,"gives pipewire compatibility with Alsa programs."
,pipewire-jack,"gives pipewire compatibility with JACK programs."
,pamixer,"is a command-line audio interface."
,pulsemixer,"is an audio controller."
,helvum,"is a GTK patchbay for PipeWire."
## WM
,bspwm,"is the window manager."
,sxhkd,"is the key mapper."
,rofi,"runs commands and provides a UI for selection."
,rxvt-unicode,"is a terminal emulator."
,feh,"sets the wallpaper."
,unclutter,"hides an inactive mouse."
,dunst,"is a suckless notification system."
,libnotify,"is a library for sending desktop notifications."
,udisks2,"is a Disk Management Service."
,networkmanager,"is a network connection manager and user applications."
A,polybar,"serves as the modular status bar."
A,betterlockscreen,"allows you to lock your computer, and quickly unlock with your password."
#A,bsp-layout,"is a dynamic layout management scirpts for bspwm."
## Filesystem
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
A,simple-mtpfs,"enables the mounting of cell phones."
,ntfs-3g,"allows accessing NTFS partitions."
## General
,unrar,"extracts rar's."
,unzip,"unzips zips."
,man-db,"lets you read man pages of programs."
,gnome-keyring,"serves as the system keyring."
,socat,"is a utility which establishes two byte streams and transfers data between them."
#,cronie,"is daemon that runs specified programs at scheduled times and related tools."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"is a ncurses interface for music with multiple formats and a powerful tag editor."
,curl,"is a http client."
,zsh,"is a zoomer's shell."
,git,"is the fast distributed version control system."
,htop,"is an interactive process viewer."
,moreutils,"is a collection of useful unix tools."
,neovim,"is a tidier vim with some useful features"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
#A,sc-im,"is an Excel-like terminal spreadsheet manager."
,sxiv,"is a minimalist image viewer."
,maim,"can take quick screenshots at your request."
,ffmpeg,"can record and splice video and audio on the command line."
,lynx,"is a terminal browser."
#,newsboat,"is a terminal RSS client."
,firefox,"is an elegant browser."
#A,abook,"is an offline addressbook usable by neomutt."
#A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,task-spooler,"queues commands or files for download."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,odt2txt,"extracts the text out of OpenDocument Texts."
,w3m,"is a Text-based Web browser as well as pager."
,chafa,"is an Image-to-text converter supporting a wide range of symbols and palettes, transparency, animations, etc."
,rofi-emoji,"is a Rofi plugin for selecting emojis."
,ripgrep,"is a search tool that combines the usability of ag with the raw speed of grep."
## ZSH plugins
,zsh-autosuggestions,"is a fish-like autosuggestions for zsh."
,zsh-completions,"is an additional completion definitions for zsh."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
#A,pulseaudio-control,"is a PulseAudio plugin for the polybar status bar."
## Fonts
,bdf-unifont,"is just another font."
,xorg-fonts-misc,"is just another font."
,ttf-ibm-plex,"just another font."
,noto-fonts,"is a font from Google."
,noto-fonts-emoji,"is an emoji font."
,noto-fonts-cjk,"is a font for our asian friends.
,noto-fonts-extra,"is a font for polybar."
,ttf-font-awesome,"is an iconic font designed for Bootstrap."
A,siji-git,"is just another font."
